Origin,Destination,NumOfLoan,Origin_Long,Origin_Lat,Dest_Long,Dest_Lat
US,BF,85,-95.712891,37.09024,-1.561593,12.238333
US,BI,32,-95.712891,37.09024,29.918886,-3.373056
US,BO,380,-95.712891,37.09024,-63.588653,-16.290154
US,CD,108,-95.712891,37.09024,21.758664,-4.038333
US,CM,86,-95.712891,37.09024,12.354722,7.369722
US,CO,701,-95.712891,37.09024,-74.297333,4.570868
US,CR,53,-95.712891,37.09024,-83.753428,9.748917
US,DO,24,-95.712891,37.09024,-70.162651,18.735693
US,EC,440,-95.712891,37.09024,-78.183406,-1.831239
US,EG,50,-95.712891,37.09024,30.802498,26.820553
US,GE,160,-95.712891,37.09024,43.356892,42.315407
US,GH,170,-95.712891,37.09024,-1.023194,7.946527
US,GT,238,-95.712891,37.09024,-90.230759,15.783471
US,HN,268,-95.712891,37.09024,-86.241905,15.199999
US,HT,112,-95.712891,37.09024,-72.285215,18.971187
US,ID,187,-95.712891,37.09024,113.921327,-0.789275
US,IN,338,-95.712891,37.09024,78.96288,20.593684
US,IQ,80,-95.712891,37.09024,43.679291,33.223191
US,JO,171,-95.712891,37.09024,36.238414,30.585164
US,KE,2075,-95.712891,37.09024,37.906193,-0.023559
US,KG,211,-95.712891,37.09024,74.766098,41.20438
US,KH,1100,-95.712891,37.09024,104.990963,12.565679
US,LA,30,-95.712891,37.09024,102.495496,19.85627
US,LB,333,-95.712891,37.09024,35.862285,33.854721
US,LR,192,-95.712891,37.09024,-9.429499,6.428055
US,MG,118,-95.712891,37.09024,46.869107,-18.766947
US,ML,235,-95.712891,37.09024,-3.996166,17.570692
US,MM,55,-95.712891,37.09024,95.956223,21.913965
US,MN,80,-95.712891,37.09024,103.846656,46.862496
US,MW,34,-95.712891,37.09024,34.301525,-13.254308
US,MX,176,-95.712891,37.09024,-102.552784,23.634501
US,MZ,106,-95.712891,37.09024,35.529562,-18.665695
US,NG,317,-95.712891,37.09024,8.675277,9.081999
US,NI,537,-95.712891,37.09024,-85.207229,12.865416
US,PE,757,-95.712891,37.09024,-75.015152,-9.189967
US,PH,4709,-95.712891,37.09024,121.774017,12.879721
US,PK,994,-95.712891,37.09024,69.345116,30.375321
US,PS,241,-95.712891,37.09024,35.233154,31.952162
US,PY,460,-95.712891,37.09024,-58.443832,-23.442503
US,RW,267,-95.712891,37.09024,29.873888,-1.940278
US,SL,235,-95.712891,37.09024,-11.779889,8.460555
US,SN,113,-95.712891,37.09024,-14.452362,14.497401
US,SV,1431,-95.712891,37.09024,-88.89653,13.794185
US,TG,177,-95.712891,37.09024,0.824782,8.619543
US,TJ,699,-95.712891,37.09024,71.276093,38.861034
US,TL,69,-95.712891,37.09024,125.727539,-8.874217
US,TR,52,-95.712891,37.09024,35.243322,38.963745
US,TZ,167,-95.712891,37.09024,34.888822,-6.369028
US,UA,62,-95.712891,37.09024,31.16558,48.379433
US,UG,706,-95.712891,37.09024,32.290275,1.373333
US,US,78,-95.712891,37.09024,-95.712891,37.09024
US,VN,400,-95.712891,37.09024,108.277199,14.058324
US,WS,290,-95.712891,37.09024,-172.104629,-13.759029
US,XK,50,-95.712891,37.09024,20.902977,42.602636
US,YE,77,-95.712891,37.09024,48.516388,15.552727
US,ZM,26,-95.712891,37.09024,27.849332,-13.133897
US,ZW,133,-95.712891,37.09024,29.154857,-19.015438
