Origin,Destination,NumOfLoan,Origin_Long,Origin_Lat,Dest_Long,Dest_Lat,OriginName
GB,TJ,51,-3.435973,55.378051,71.276093,38.861034,Great Britain
GB,TZ,23,-3.435973,55.378051,34.888822,-6.369028,Great Britain
GB,UG,77,-3.435973,55.378051,32.290275,1.373333,Great Britain
GB,VN,26,-3.435973,55.378051,108.277199,14.058324,Great Britain
GB,WS,26,-3.435973,55.378051,-172.104629,-13.759029,Great Britain
HK,PH,40,114.109497,22.396428,121.774017,12.879721,Hong Kong 
IE,PH,32,-8.24389,53.41291,121.774017,12.879721,Ireland 
IT,KE,22,12.56738,41.87194,37.906193,-0.023559,Italy 
IT,PH,28,12.56738,41.87194,121.774017,12.879721,Italy 
JP,AM,26,138.252924,36.204824,45.038189,40.069099,Japan 
JP,KE,27,138.252924,36.204824,37.906193,-0.023559,Japan 
JP,PH,40,138.252924,36.204824,121.774017,12.879721,Japan 
NL,AM,24,5.291266,52.132633,45.038189,40.069099,Netherlands 
NL,CO,54,5.291266,52.132633,-74.297333,4.570868,Netherlands 
NL,EC,24,5.291266,52.132633,-78.183406,-1.831239,Netherlands 
NL,ID,22,5.291266,52.132633,113.921327,-0.789275,Netherlands 
NL,KE,154,5.291266,52.132633,37.906193,-0.023559,Netherlands 
NL,KH,57,5.291266,52.132633,104.990963,12.565679,Netherlands 
NL,MZ,24,5.291266,52.132633,35.529562,-18.665695,Netherlands 
NL,NG,21,5.291266,52.132633,8.675277,9.081999,Netherlands 
NL,NI,42,5.291266,52.132633,-85.207229,12.865416,Netherlands 
NL,PE,35,5.291266,52.132633,-75.015152,-9.189967,Netherlands 
NL,PH,213,5.291266,52.132633,121.774017,12.879721,Netherlands 
NL,PK,34,5.291266,52.132633,69.345116,30.375321,Netherlands 
NL,RW,20,5.291266,52.132633,29.873888,-1.940278,Netherlands 
NL,SL,20,5.291266,52.132633,-11.779889,8.460555,Netherlands 
NL,SV,130,5.291266,52.132633,-88.89653,13.794185,Netherlands 
NL,TJ,42,5.291266,52.132633,71.276093,38.861034,Netherlands 
NL,UG,48,5.291266,52.132633,32.290275,1.373333,Netherlands 
NL,WS,23,5.291266,52.132633,-172.104629,-13.759029,Netherlands 
